Winter,Total,Apr.1,May.1,Snow.start,Melt.out,Water,Above.freezing,Days.covered,Drought
1975-76,966,137,76,7-Nov,15-May,22.44,126,190,1
1976-77,474,74,0,13-Nov,26-Apr,11.6,124,164,2
1977-78,1387,179,137,18-Nov,4-Jun,30.41,60,198,1
1978-79,1346,216,130,11-Nov,1-Jun,32.17,61,202,1
1979-80,1542,235,165,7-Nov,7-Jun,35.89,51,213,1
1980-81,647,86,0,15-Oct,29-Apr,16.11,114,196,2
1981-82,1101,185,119,24-Oct,1-Jun,28.89,106,219,1
1982-83,1278,177,165,26-Oct,9-Jun,28.44,100,226,1
1983-84,1382,199,204,8-Nov,4-Jun,34.46,86,209,1
1984-85,1163,195,114,17-Oct,25-May,28.03,112,220,1
1985-86,1384,178,130,5-Nov,29-May,37.95,125,205,1
1986-87,986,155,68,31-Oct,12-May,24.52,110,193,1
1987-88,925,119,69,6-Nov,15-May,21.43,111,191,1
1988-89,1094,152,59,8-Nov,12-May,28.09,90,185,1
1989-90,964,78,89,24-Nov,18-May,23.95,116,175,1
1990-91,1076,160,122,2-Nov,22-May,27.23,79,201,1
1991-92,692,125,13,24-Oct,3-May,18.62,126,192,2
1992-93,1469,211,170,28-Oct,5-Jun,39.05,89,220,1
1993-94,954,129,111,12-Nov,20-May,26.87,117,189,1
1994-95,1641,207,186,30-Oct,19-Jun,45.06,112,232,1
1995-96,1200,183,136,1-Nov,20-May,33.34,129,201,1
1996-97,1498,173,171,20-Oct,1-Jun,39.5,103,224,1
1997-98,1171,134,100,23-Oct,20-May,28.02,105,209,1
1998-99,1144,105,112,25-Oct,25-May,29.98,143,212,1
1999-00,858,128,46,20-Nov,10-May,21.65,145,169,2
2000-01,928,107,46,31-Oct,14-May,22.9,117,195,1
2001-02,653,88,0,18-Nov,25-Apr,15.93,118,158,2
2002-03,991,138,84,22-Oct,22-May,25.37,149,212,1
2003-04,1016,83,51,2-Nov,8-May,24.57,132,188,1
2004-05,1210,172,115,29-Oct,26-May,31.63,139,209,1
2005-06,981,151,58,29-Oct,12-May,24.83,129,195,1
2006-07,883,93,0,17-Oct,1-May,22.29,154,196,2
2007-08,1369,202,150,21-Nov,1-Jun,37.18,94,193,1
2008-09,1107,186,67,4-Nov,11-May,28.06,132,188,1
2009-10,1120,131,41,13-Nov,12-May,27.28,130,180,1
2010-11,1492,193,184,24-Oct,7-Jun,39.74,129,226,1
2011-12,640,46,0,25-Oct,23-Apr,16.6,152,181,2
2012-13,788,86,43,10-Nov,15-May,20.64,153,186,2
2013-14,1177,207,101,29-Oct,26-May,32.83,151,209,1
2014-15,852,71,14,2-Nov,7-May,23.58,161,186,2
2015-16,837,110,65,4-Nov,18-May,21.12,147,196,1
2016-17,990,148,96,17-Nov,24-May,30.9,149,188,1
2017-18,490,89,6,18-Nov,5-May,16.69,178,168,2
2018-19,967,180,149,3-Nov,6-Jun,32.78,135,215,1
2019-20,602,114,43,20-Nov,8-May,19.46,149,170,2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,