FileName,Species,sample,Specimen,Biomass,VWC,Type,Year,Note
Achmil1Jun27_08232018.qgd,Achillea millefolium,PAchmil1Jun27,AM,0.22301,1.1,floral,2018,
Achmil2Jul17_08232018.qgd,Achillea millefolium,PAchmil2Jul17,AM,0.43491,4.3,floral,2018,
Achmil4Aug6_08222018.qgd,Achillea millefolium,PAchmil4Aug6,AM,0.36929,1.7,floral,2018,
Achmil5Aug8_08222018.qgd,Achillea millefolium,PAchmil5Aug8,AM,0.17298,2.4,floral,2018,
AirJuly 16_07252018.qgd,,,Air,,,ambient,2018,
AirAug10_08282018.qgd,,,Air,,,ambient,2018,
AirAug1_08272018.qgd,,,Air,,,ambient,2018,
AirAug3_08272018.qgd,,,Air,,,ambient,2018,
AirAug6_08262018.qgd,,,Air,,,ambient,2018,
AirAug8_08222018.qgd,,,Air,,,ambient,2018,
AirAug9_08232018.qgd,,,Air,,,ambient,2018,
AirJul11_08282018.qgd,,,Air,,,ambient,2018,
AirJul12_08282018.qgd,,,Air,,,ambient,2018,
AirJul13_08272018.qgd,,,Air,,,ambient,2018,
AirJul17_08232018.qgd,,,Air,,,ambient,2018,
AirJul23_08242018.qgd,,,Air,,,ambient,2018,
AirJul2_08282018.qgd,,,Air,,,ambient,2018,
AirJul31_08242018.qgd,,,Air,,,ambient,2018,
AirJul6_08272018.qgd,,,Air,,,ambient,2018,
AirJul9_08262018.qgd,,,Air,,,ambient,2018,
AirJun10_08242018.qgd,,,Air,,,ambient,2018,
AirJun20_08282018.qgd,,,Air,,,ambient,2018,
AirJun21_08272018.qgd,,,Air,,,ambient,2018,
AirJun25_08282018.qgd,,,Air,,,ambient,2018,
AirJun26_08282018.qgd,,,Air,,,ambient,2018,
AirJun27_08282018.qgd,,,Air,,,ambient,2018,
AirJun28_08272018.qgd,,,Air,,,ambient,2018,
Arecon1Jun23_08272018.qgd,Arenaria congesta,PArecon1Jun28,AC,0.028,0.7,floral,2018,
Arecon3Jul13_08262018.qgd,Arenaria congesta,PArecon2Jul13,AC,0.03851,3.8,floral,2018,
Arecon4Aug3_08222018.qgd,Arenaria congesta,PArecon4Aug3,AC,0.05506,7.1,floral,2018,
Arecon4Jul17_08242018.qgd,Arenaria congesta,PArecon3Jul17,AC,0.03305,8.8,floral,2018,
Blank10_08282018.qgd,,,,,,blank,2018,remove
Blank2_08222018.qgd,,,,,,blank,2018,remove
Blank3_08232018.qgd,,,,,,blank,2018,remove
Blank4_08242018.qgd,,,,,,blank,2018,remove
Blank5_08242018.qgd,,,,,,blank,2018,remove
Blank6_08262018.qgd,,,,,,blank,2018,remove
Blank7_08272018.qgd,,,,,,blank,2018,remove
Blank8_08272018.qgd,,,,,,blank,2018,remove
Blank9_08282018.qgd,,,,,,blank,2018,remove
Blank_07252018.qgd,,,,,,blank,2018,remove
Blank_08222018.qgd,,,,,,blank,2018,remove
Boestr1Jun25_08282018.qgd,Boechera stricta,PBoestr1Jun25,BS,0.01069,1.8,floral,2018,
Boestr2Jun25_08282018.qgd,Boechera stricta,PBoestr2Jun25,BS,0.04509,1.7,floral,2018,
Boestr3Jun26_08242018.qgd,Boechera stricta,,BS,,,floral,2018,remove
Boestr4Jul11_08232018.qgd,Boechera stricta,PBoestr4Jul11,BS,0.01072,4.3,floral,2018,
Camrot1Jul12_08282018.qgd,Campanula rotundifolia,PCamrot1Jul12,CR,0.01662,1.8,floral,2018,
Camrot2Jul17_08272018.qgd,Campanula rotundifolia,PCamrot2Jul17,CR,0.08306,1.2,floral,2018,
Camrot3Aug3_08282018.qgd,Campanula rotundifolia,PCamrot3Aug3,CR,0.08196,1.1,floral,2018,
Camrot4Aug6_08232018.qgd,Campanula rotundifolia,PCamrot4Aug6,CR,0.01406,0,floral,2018,
Camrot5Aug8_08222018.qgd,Campanula rotundifolia,PCamrot5Aug8,CR,0.0176,3.1,floral,2018,
Cassul1Jun28_08232018.qgd,Castilleja sulphurea,PCassul1Jun28,CS,0.1751,2.5,floral,2018,
Cassul2Jul13_08282018.qgd,Castilleja sulphurea,PCassul2Jul13,CS,0.07145,1.2,floral,2018,
Cassul3Jul17_08282018.qgd,Castilleja sulphurea,PCassul3Jul17,CS,0.09391,4.6,floral,2018,
Cassul4Aug3_08272018.qgd,Castilleja sulphurea,PCassul4Aug3,CS,0.10126,10.6,floral,2018,
Clalan1Jul7_08232018.qgd,Claytonia lanceolatum,PClalan1Jul7,CL,0.00569,,floral,2018,
Clalan2Jul2_08222018.qgd,Claytonia lanceolatum,PClalan2Jul2,CL,0.00438,,floral,2018,
Clalan3July 2_07252018.qgd,Claytonia lanceolatum,PClalan3Jul2,CL,0.0278,,floral,2018,
Draaur1Jun27_08222018.qgd,Draba aurea,PDraaur1Jun27,DA,0.01546,1.7,floral,2018,
Draaur2Jun28_08242018.qgd,Draba aurea,PDraaur2Jun28,DA,0.01414,2.3,floral,2018,
Erisub1Jun21_08272018.qgd,Eriogonum subalpinum,PErisub1Jun21,ES ,0.29519,6.9,floral,2018,
Erisub2Jun27_08282018.qgd,Eriogonum subalpinum,PErisub2Jun27,ES ,0.25482,1.7,floral,2018,
Erisub3Jul23_08272018.qgd,Eriogonum subalpinum,PErisub3Jul23,ES ,0.18823,0.7,floral,2018,
Eriumb3Jul12_08272018.qgd,Eriogonum umbellatum,PEriumb3Jul12,EU,0.1718,1.5,floral,2018,
Erygra1Jul2_08262018.qgd,Erythronium grandiflora,PErygra1Jul2,EG,0.45,,floral,2018,
Erygra2Jul2_08282018.qgd,Erythronium grandiflora,PErygra2Jul2,EG,0.02019,,floral,2018,
Erygra3Jul2_08222018.qgd,Erythronium grandiflora,PErygra3Jul2,EG,0.03665,,floral,2018,
Galbor1Jun21_08242018.qgd,Galeum boreale,PGalbor1Jun21,GB,0.07028,3.8,floral,2018,
Galbor2Jun28_08242018.qgd,Galeum boreale,PGalbor2Jun28,GB,0.11839,0.7,floral,2018,
Galbor3Jul23_08272018.qgd,Galeum boreale,PGalbor3Jul23,GB,0.03516,2.5,floral,2018,
Galbor4Jul30_08222018.qgd,Galeum boreale,PGalbor4Jul30,GB,0.0542,1.4,floral,2018,
Galbor5Aug9_08232018.qgd,Galeum boreale,PGalbor5Aug9,GB,0.11423,7.1,floral,2018,
Hetvil1Jul12_08262018.qgd,Heterotheca villosa,PHetvil1Jul12,HV,0.0537,2.4,floral,2018,
Hetvil2Jul17_08272018.qgd,Heterotheca villosa,PHetvil2Jul17,HV,0.12998,1.3,floral,2018,
Hetvil3Jul31_08242018.qgd,Heterotheca villosa,PHetvil3Jul31,HV,0.0622,1.6,floral,2018,
Hetvil4Aug6_08222018.qgd,Heterotheca villosa,PHetvil4Aug6,HV,0.0625,0.4,floral,2018,
Hetvil5Aug8_08222018.qgd,Heterotheca villosa,PHetvil5Aug10,HV,0.06142,1.4,floral,2018,
Latleu1Jun20_08272018.qgd,Lathyrus lanszwartii,PLatleu1Jun20,LL,0.04288,5.5,floral,2018,
Latleu2Jun27_08242018.qgd,Lathyrus lanszwartii,PLatleu2Jun27,LL,0.02454,1.7,floral,2018,
Mercil1July6_07252018.qgd,Mertensia ciliata,PMercil1Jul6,MC,0.05529,2.5,floral,2018,
Mercil2Jul6_08262018.qgd,Mertensia ciliata,PMercil2Jul6,MC,0.0421,2.3,floral,2018,
Pothip1Jul13_08282018.qgd,Potentilla hippiana,PPothip1Jul13,PH,0.03815,2.5,floral,2018,
Pothip2Jul17_08282018.qgd,Potentilla hippiana,PPothip2Jul17,PH,0.09931,1.9,floral,2018,
Sedlan1Jun26_08222018.qgd,Sedum lanceolatum,PSedlan1Jun26,SL,0.2375,1.2,floral,2018,
Sedlan2Jul9_08242018.qgd,Sedum lanceolatum,,SL,,,floral,2018,remove
Sedlan4Jul17_08282018.qgd,Sedum lanceolatum,PSedlan4Jul17,SL,0.03658,0.6,floral,2018,
Senint1Jun22_08272018.qgd,Senecio integerrimus,PSenint1Jun22,SI,0.234515,1.1,floral,2018,
Senint2Jul13_08272018.qgd,Senecio integerrimus,PSenint2Jul13,SI,0.06005,4.9,floral,2018,
Vicame1Jun20_08272018.qgd,Vicia americana,PVicame1Jun20,VA,0.03382,2.2,floral,2018,
Vicame2Jul10_08282018.qgd,Vicia americana,PVicame2Jul10,VA,0.01268,0,floral,2018,
Vicame3Jul10_08282018.qgd,Vicia americana,PVicame3Jul10,VA,0.01675,1.4,floral,2018,
Vicame4Jul30_08222018.qgd,Vicia americana,PVicame4Jul30,VA,0.0175,4,floral,2018,
ACAug5_08242017.qgd,Arenaria congesta,,AC,,,floral,2017,
ACAug9_08262017.qgd,Arenaria congesta,,AC,,,floral,2017,
ACJul21_08162017.qgd,Arenaria congesta,,AC,,,floral,2017,
ACJul26_08242017.qgd,Arenaria congesta,,AC,,,floral,2017,
AirAug20_08262017.qgd,,,Air,,,ambient,2017,
AirAug25_08262017.qgd,,,Air,,,ambient,2017,
AirAug3_08262017.qgd,,,Air,,,ambient,2017,
AirAug5_08242017.qgd,,,Air,,,ambient,2017,
AirAug9_08262017.qgd,,,Air,,,ambient,2017,
AirJul21_08162017.qgd,,,Air,,,ambient,2017,
AirJul26_08242017.qgd,,,Air,,,ambient,2017,
AirJul28_08242017.qgd,,,Air,,,ambient,2017,
AirJul30_08242017.qgd,,,Air,,,ambient,2017,
AMAug5_08242017.qgd,Achillea millefolium,,AM,,,floral,2017,
AMJul21_08162017.qgd,Achillea millefolium,,AM,,,floral,2017,
AMJul28_08242017.qgd,Achillea millefolium,,AM,,,floral,2017,
CRAug9_08262017.qgd,Campanula rotundifolia,,CR,,,floral,2017,
CRJul21_08162017.qgd,Campanula rotundifolia,,CR,,,floral,2017,
CRJul26_08242017.qgd,Campanula rotundifolia,,CR,,,floral,2017,
CRJul30_08242017.qgd,Campanula rotundifolia,,CR,,,floral,2017,
ESAug9_08262017.qgd,Eriogonum subalpinum,,ES,,,floral,2017,
ESJul21_08162017.qgd,Eriogonum subalpinum,,ES,,,floral,2017,
ESJul26_08242017.qgd,Eriogonum subalpinum,,ES,,,floral,2017,
ESJul30_08242017.qgd,Eriogonum subalpinum,,ES,,,floral,2017,
GBAug5_08242017.qgd,Galeum boreale,,GB,,,floral,2017,
GBAug9_08262017.qgd,Galeum boreale,,GB,,,floral,2017,
GBJul21_08162017.qgd,Galeum boreale,,GB,,,floral,2017,
GBJul26_08242017.qgd,Galeum boreale,,GB,,,floral,2017,
HVAug9_08262017.qgd,Heterotheca villosa,,HV,,,floral,2017,
HVJul21_08162017.qgd,Heterotheca villosa,,HV,,,floral,2017,
HVJul26_08242017.qgd,Heterotheca villosa,,HV,,,floral,2017,
HVJul30_08242017.qgd,Heterotheca villosa,,HV,,,floral,2017,
