,alpha-Pinene,beta-Pinene,alpha-Farnesene,Copaene,Longifolene,alpha-Ylangene,beta-Myrcene,beta-Linalool,Petasitene,Caryophyllene,Z-beta-Ocimene,E-beta-Ocimene,beta-Elemene,Benzyl alcohol,Indole,Methylbenzoate,E-3-Hexen-1-ol,delta-Cadinene,Z-3-Hexen-1-ol,1-Hexanol,"Pentanoic acid, 4-methyl",Germacrene D,alpha-Terpineol,Methyl salicylate,alpha-Thujene
L_10D_July30_07312019.qgd,143061,0,0,0,0,0,0,0,0,0,105287,0,0,0,0,0,0,0,0,0,27028,0,0,531092,0
L_13D_July30_07312019.qgd,3846899,0,0,0,0,0,0,297578,0,158187,57678,0,0,0,0,0,0,0,785358,0,8940,0,0,1110444,0
L_14D_July30_07312019.qgd,935771,0,0,0,0,0,0,255118,0,142961,0,0,0,0,0,201529,0,0,426822,0,67585,0,0,739266,0
L_15D_July30_07312019.qgd,1361402,0,0,266472,0,0,191971,331329,0,302518,160786,0,0,0,0,0,0,0,808929,164105,22764,96061,102993,1016253,0
L_16D_July30_07312019.qgd,584250,0,0,0,0,0,0,822426,0,142386,51577,0,0,67158,0,0,0,0,701921,0,12129,0,0,2057362,0
L_17D_July30_07312019.qgd,897000,0,0,0,0,0,0,386088,0,91873,0,0,0,0,0,0,0,0,227818,0,0,0,0,613581,0
L_18D_July30_07312019.qgd,2253261,0,0,0,0,0,0,0,0,657490,29070,0,0,53674,0,0,210365,0,0,0,8956,0,0,0,0
L_19D_July30_07312019.qgd,988576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733041,0
L_2057D_July30_07312019.qgd,148001,0,0,0,0,0,0,213427,0,56056,0,0,0,0,0,0,0,0,0,0,9437,0,0,368342,0
L_2060D_July30_852019_06.qgd,2319952,0,0,294563,0,0,583635,0,0,1367174,173244,0,0,0,0,0,2204211,0,0,0,11354,0,0,429611,0
L_2064D_July30_07312019.qgd,1385346,0,0,0,0,0,521374,0,0,171659,776352,0,0,62261,0,0,0,0,0,0,0,0,0,713113,0
L_2097D_July30_07312019.qgd,948869,0,0,307732,0,0,0,0,0,0,268136,0,1175735,0,0,0,0,0,0,0,107162,0,525235,882308,0
L_20D_July30_07312019.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_21D_July30_07312019.qgd,9003975,0,0,548942,0,0,739673,0,0,1081050,278566,0,0,88498,0,0,0,0,0,0,33480,375438,0,0,0
L_2251D_July30_852019_03.qgd,891067,0,0,0,0,0,0,0,0,0,0,0,0,44187,0,0,0,0,0,0,4837,0,0,0,0
L_2252D_July30_852019_02.qgd,2403619,0,0,0,0,0,0,0,0,80518,0,0,0,0,0,0,1332084,0,0,210283,14502,0,0,260344,0
L_2254D_July30_07312019.qgd,3845957,0,0,473761,0,0,1522323,772422,0,1789689,394801,0,0,0,0,0,0,0,0,0,20101,488628,379514,1104175,0
L_2259D_July30_07312019.qgd,1150565,0,0,0,0,0,0,175887,0,307735,63924,0,0,0,0,130539,4601,0,0,0,41463,0,0,545921,0
L_2260D_July30_07312019.qgd,1151881,0,0,0,879936,0,0,0,0,447314,129205,0,0,0,0,0,0,0,0,0,13694,0,113917,970805,0
L_2261D_July30_07312019.qgd,136611,0,0,0,0,0,0,523823,0,1003170,69829,0,0,0,0,0,0,0,866273,363258,23372,0,0,1545363,0
L_2262D_July30_07312019.qgd,3101217,0,0,563747,0,0,0,622513,0,1610249,0,0,0,0,0,59321,0,0,877266,165639,0,497510,294048,552321,0
L_2263D_July30_07312019.qgd,75736,0,0,0,0,0,0,21338,0,59231,0,0,0,0,0,0,0,0,0,104273,23618,0,0,175034,0
L_2264D_July30_07312019.qgd,185191,0,0,0,0,0,0,218040,0,70467,47716,0,0,0,0,0,0,0,0,652976,35213,0,0,605326,0
L_2265D_July30_07312019.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_2266D_July30_07312019.qgd,2216710,0,0,3768505,509292,0,0,0,0,0,271990,0,0,0,0,0,0,986971,0,0,63286,0,379122,0,0
L_2269D_July30_852019_05.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_2273D_July30_852019_04.qgd,651589,0,0,143835,115579,0,0,82621,0,0,49323,0,0,0,0,0,423004,0,0,0,0,0,126604,234143,31764
L_22D_July30_07312019.qgd,1172053,0,0,0,0,0,0,153406,0,2397218,129523,0,0,0,0,103336,9187,52604,0,0,13595,0,0,368260,0
L_23D_July30_07312019.qgd,591768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475936,0,0
L_24_DJuly30_07312019.qgd,0,0,0,0,11238136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_25D_July30_07312019.qgd,6081990,1475257,0,0,0,74555,510091,0,0,350826,228549,0,0,0,0,103408,0,148761,0,0,9914,0,120265,427311,0
L_27D_July30_07312019.qgd,1364106,0,342144,240470,0,0,136480,0,0,86079,78341,0,0,77015,0,0,0,170760,0,0,11580,0,164256,285921,0
L_28D_July30_07312019.qgd,815092,0,0,0,0,0,467091,0,0,651348,226747,0,0,0,0,0,0,0,1613059,0,79956,0,0,0,0
L_2D_July30_07312019.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_3D_July30_07312019.qgd,4259855,0,0,0,513072,0,0,0,0,4207287,0,0,0,0,0,0,0,0,0,0,0,779321,254714,1091573,0
L_4D_July30_07312019.qgd,12566534,0,0,0,0,0,0,450643,0,529150,0,0,0,71655,0,0,0,0,1076435,0,11290,0,0,1222122,0
L_5D_July30_07312019.qgd,3347180,0,0,0,0,0,0,0,0,124157,0,0,0,0,0,91974,0,0,139391,0,0,0,0,320431,0
L_6D_July30_07312019.qgd,3214836,0,0,0,0,0,397651,120776,0,0,169152,0,0,0,0,0,0,0,1015635,181483,0,0,0,162047,0
L_8D_July30_07312019.qgd,2382811,0,0,0,847721,0,0,0,0,244964,114292,0,0,73381,0,0,0,0,0,0,25507,0,0,0,0
L_9D_July30_07312019.qgd,835613,0,0,0,0,0,0,311596,621939,100764,165243,0,0,60269,0,0,0,0,0,0,14061,0,114993,527316,0
L_Air1_July30_07312019.qgd,0,0,0,0,0,0,0,0,0,0,39501,0,0,0,0,0,361679,0,0,0,21426,0,0,283732,0
L_Air2_July30_07312019.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66153,0,0,0,0
L_Air3_July30_07312019.qgd,42388,0,0,0,0,0,0,0,0,114665,0,0,0,0,0,0,215088,0,0,0,22119,0,0,484184,0
L_Blank1_07312019.qgd,0,0,0,0,0,0,0,59657,0,313618,0,0,0,0,0,0,0,0,47166,63821,0,0,0,137875,0
L_Blank2_07312019.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68185,0
L_Blank3_852019_01.qgd,0,0,0,0,0,0,0,15404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40756,0
VF_12AD_LS_July23_07292019.qgd,498057,0,0,0,0,0,93463,0,58633,98031,90987,0,0,0,0,0,0,0,0,0,9958,0,123973,0,0
VF_13D_KW_July23_07292019.qgd,108704,0,0,0,0,0,0,0,0,29672,0,0,0,93402,0,0,0,0,0,270108,40240,0,0,0,0
VF_14D_LS_July23_07292019.qgd,1620739,0,0,2138020,0,0,325407,446471,1343124,5387120,168683,0,0,0,686903,0,0,0,0,0,23046,0,179428,943018,0
VF_15D_KW_July23_07292019.qgd,4433824,0,1009692,280626,0,0,841013,504869,3473600,12845868,2042374,526442,0,0,0,0,0,0,0,0,12249,0,263037,227300,0
VF_16D_KW_July23_07292019.qgd,99909,1266150,0,0,0,0,0,231198,74158,684485,114133,0,0,0,0,0,0,0,290196,0,7611,0,0,1062877,131010
VF_19D_KW_July23_07292019.qgd,6225683,0,0,146892,0,0,241123,636504,0,754030,118690,0,0,81467,0,0,0,0,0,0,21706,0,81406,1329940,0
VF_20D_KW_July23_07292019.qgd,1399119,0,0,0,0,0,617404,379522,724427,434110,265291,0,0,0,0,0,0,0,0,0,17893,0,0,1103117,0
VF_21D_LS_July23_07292019.qgd,13084729,1693780,19303895,0,0,127860,2554465,508536,0,10144138,4300977,986703,0,8491,0,0,0,0,3178,0,0,0,187337,354149,48312
VF_2D_LS_July23_07292019.qgd,554282,0,0,0,0,0,0,0,0,52485,117388,0,0,0,0,181146,246924,0,0,0,17074,0,0,531986,0
VF_3D_JN_July23_07292019.qgd,1640961,0,1045628,0,0,0,194931,167078,0,338347,994051,266783,0,27284,0,0,0,0,296827,0,10513,0,0,473712,0
VF_4D_JN_July23_07292019.qgd,2341754,0,505200,77349,0,0,594288,0,627305,69426,1127484,446726,0,0,0,0,0,0,0,0,0,0,0,429463,0
VF_5D_LS_July23_07292019.qgd,240183,0,0,0,0,0,0,285719,0,168767,241205,125016,0,48824,0,0,0,0,0,0,23100,0,121889,610054,0
VF_6D_LS_July23_07292019.qgd,2780000,0,559418,0,0,0,369167,0,1285117,851467,1500603,492546,0,0,0,0,0,0,0,0,31562,0,222862,317393,0
VF_7D_JN_July23_07292019.qgd,710675,0,0,140805,0,0,794869,1183693,0,14969599,459566,163822,0,162551,0,0,0,0,0,0,0,0,611510,2104664,0
VF_8D_JN_July23_07292019.qgd,1730684,0,1696501,0,0,542853,588151,341613,0,2051738,477969,227120,0,0,0,0,0,0,740578,242034,29132,0,244112,511201,0
VF_9D_JN_July23_07292019.qgd,730827,0,0,0,0,0,0,241934,32513,154019,44291,0,0,0,0,0,0,0,391960,0,25498,0,88922,595977,0
VF_Ar1_JN_July23_07292019.qgd,84137,0,0,0,0,0,0,153584,0,172692,0,0,0,0,0,0,0,0,248824,0,25362,0,0,640354,0
VF_Ar2_LS_July23_07292019.qgd,58926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11225,0,0,332891,0
VF_Ar3_KW_July23_07292019.qgd,203524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140378,0,0,0,0,258353,0
VF_Ar4_JN_July23_07292019.qgd,0,0,0,0,0,0,0,0,0,243094,0,0,0,0,0,0,0,0,0,0,78508,0,0,0,0
VF_Ar5_LS_July23_07312019.qgd,63259,0,0,0,0,0,0,0,0,0,0,0,0,84304,0,0,0,0,0,0,20726,0,0,0,0
VF_Ar6_KW_July23_07292019.qgd,202188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64883,0,0,0,0
VF_Blank_JP_07292019.qgd,0,0,0,0,0,0,0,15256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75645,0
